 Site Name , Ground Mounted/ Roof top ,, State ," DC Capacity
MWp "," AC Capacity
MW ",Expected Generation,Guaranteed Generation (kWh),Inverter Generation (kWh),ABT Meter Generation at Plant End (kWh),Generation difference (%),DC-CUF,AC-CUF,Pvsyst Irradiation (kWh/m2),Actual Irradiation (kWh/m2),Radiation Difference (%),PR,Plant Availability,Grid Availability,Losses due to Grid Unavailability,Losses due to Plant Unavailability,Remarks,,,,,MTD
Narayan Spinning - 2,GM,26-Apr,Gujarat,2.49,2,365040,327158,302194,297950,-8.93%,16.89%,19.68%,178,182,2.50%,66.70%,99.80%,73.90%,38867,0,,,,,Narayan Spinning - 2,Linde Engineering
"Rishi FIBC, Balasinor",GM,26-Apr,Gujarat,3,2.4,401804,387166,383962,374520,-3.27%,17.78%,20.68%,172,167,-2.80%,76.40%,100.00%,99.50%,30983,0,,,,,"Rishi FIBC, Balasinor",Alembic Pharma Phase 1
"Saanika Industries, Bharuch",GM,26-Apr,Gujarat,4.8,3.6,743310,612468,683988,673600,9.98%,19.79%,24.06%,194,172,-11.30%,83.00%,100.00%,98.00%,17346,0,,,,,"Saanika Industries, Bharuch",Alembic Pharma Phase 2
"SS Flour Mills, Akola",GM,26-Apr,Maharashtra,1.7,1.28,267644,228592,240384,242775,6.20%,19.64%,24.07%,183,173,-5.60%,81.90%,100.00%,100.00%,0,0,,,,,"SS Flour Mills, Akola",Mark Alloys
Sumati Spintex,GM,26-Apr,Gujarat,4.6,3.96,959490,954870,780444,767550,-19.62%,23.56%,25.75%,248,210,-15.50%,80.80%,99.20%,94.20%,49689,6323,,,,,Sumati Spintex,Ujjaval Alloys
Tulsi Industries,GM,26-Apr,Gujarat,3.8,2.86,855510,707940,706662,692760,-2.14%,25.83%,31.03%,218,224,2.70%,83.00%,99.40%,99.50%,3730,6979,,,,,Tulsi Industries,Diamond stones
Tulsi Udyog,GM,26-Apr,Gujarat,2.1,1.76,497430,400110,399340,391320,-2.20%,26.41%,29.52%,218,228,4.60%,83.30%,100.00%,99.70%,1272,0,,,,,Tulsi Udyog,Airona Tiles
Val Organics,GM,26-Apr,Gujarat,2.05,1.6,304101,266814,297540,292780,9.73%,20.13%,23.77%,180,176,-2.30%,82.50%,99.90%,99.70%,2428,226,,,,,Val Organics,Airolam Ltd.
"ZEIT - 1, Akola",GM,26-Apr,Maharashtra,8.75,6.33,1293058,1293058,1308104,1290375,-0.21%,20.76%,26.29%,211,175,-16.90%,85.30%,100.00%,100.00%,0,0,,,,,"ZEIT - 1, Akola",Advatech Cera
"ZEIT - 2, Akola",GM,26-Apr,Maharashtra,4,3.03,601640,601640,605574,600240,-0.23%,21.03%,25.75%,183,174,-4.60%,86.80%,100.00%,100.00%,0,0,,,,,"ZEIT - 2, Akola",BPCL
Kiran,GM,26-Apr,Gujarat,2.9,2.2,467790,394770,402794,397280,0.64%,19.29%,25.43%,205,181,-12.00%,76.90%,100.00%,95.40%,24137,0,,,,,Kiran,GSECL_ Vitthalpar
Majethiya,GM,26-Apr,Gujarat,1,0.8,138930,120840,138578,138075,14.26%,19.25%,24.06%,206,181,-12.10%,76.70%,100.00%,95.40%,24137,0,,,,,Majethiya,GSECL_Jambudiya
Centenary,GM,26-Apr,Gujarat,1.34,1.13,247830,198690,192241,190185,-4.28%,19.88%,23.73%,214,176,-17.60%,81.20%,100.00%,94.40%,15812,0,,,,,Centenary,ACG_Tuljapur
Sainest,GM,26-Apr,Gujarat,1.5,1.2,236850,213900,201296,200790,-6.13%,18.64%,23.30%,206,176,-14.20%,76.10%,100.00%,97.00%,8486,0,,,,,Sainest,Aarti_Akola
Orito,GM,26-Apr,Gujarat,3,2.4,478140,384660,403460,398400,3.57%,18.68%,23.35%,195,176,-9.60%,76.30%,99.80%,95.90%,23453,1209,,,,,Orito,ACG_PZ4
Universal,GM,26-Apr,Gujarat,1.5,1.2,261180,214950,211281,208300,-3.09%,19.56%,24.45%,214,181,-15.50%,78.00%,99.80%,95.50%,13997,207,,,,,Universal,ACG_PAM
Aditya-Arka,GM,26-Apr,Gujarat,1.79,1.5,268140,223260,249616,248355,11.24%,22.37%,26.67%,195,181,-7.50%,77.30%,100.00%,94.90%,18057,0,,,,,Aditya-Arka,ACG_PGP3
Ajay cotspin ,GM,26-Apr,Gujarat,4,3.2,447200,463346,543839,535840,17.37%,21.80%,27.24%,186,166,-10.50%,81.70%,99.40%,100.00%,0,4414,,,,,Ajay cotspin ,Asahi Songwon_ Balasinor
Unitech cotspin,GM,26-Apr,Gujarat,2.01,1.6,275002,232518,272808,268600,17.33%,21.81%,27.32%,186,160,-13.80%,84.90%,100.00%,100.00%,0,0,,,,,Unitech cotspin,August Energy_Akola
Lincoln Pharma,GM,26-Apr,Gujarat,4,3.3,571038,529230,601551,592480,13.67%,24.08%,29.21%,170,176,3.30%,85.70%,99.50%,100.00%,0,63457,,,,,Lincoln Pharma,Benzo_Chem
